treatment,Y
heel,4.877906
heel,3.516188
heel,2.170037
heel,0.957559
heel,-0.067659
heel,-0.797841
heel,-0.996029
heel,-0.939147
heel,-0.820294
heel,-0.157473
heel,1.009351
heel,2.313589
heel,3.461252
heel,4.049529
heel,3.810326
heel,4.431684
heel,8.215216
heel,13.149106
heel,18.02342
heel,23.830893
heel,28.11708
heel,28.018735
heel,24.913143
heel,21.734653
heel,19.527193
heel,18.048568
heel,16.556471
heel,15.481406
heel,14.548247
heel,13.279635
heel,11.339669
heel,8.971743
heel,6.719976
heel,5.212311
heel,4.530479
heel,4.293372
heel,4.171376
heel,4.018843
heel,3.49598
heel,2.470612
heel,1.329685
heel,0.356109
heel,-0.347128
heel,-0.784968
heel,-0.843197
heel,-0.44233
heel,0.529449
heel,1.787134
heel,3.352878
heel,4.149671
heel,3.693719
heel,2.936743
heel,4.301455
heel,7.744146
heel,12.352313
heel,18.377733
heel,25.469236
heel,31.870076
heel,32.213462
heel,25.232878
heel,19.953956
heel,18.159487
heel,18.003212
heel,18.04752
heel,18.084343
heel,17.567468
heel,16.05651
heel,13.839022
heel,11.135643
heel,8.510852
heel,6.360423
heel,4.649631
heel,3.492687
heel,2.52001
heel,1.686243
heel,0.933459
heel,0.331261
heel,-0.310903
heel,-0.61567
heel,-0.726439
heel,-0.814756
heel,-0.716261
heel,-0.181872
heel,0.659678
heel,2.020947
heel,3.485502
heel,4.071833
heel,4.230054
heel,5.490433
heel,9.802366
heel,14.919325
heel,19.106717
heel,23.210284
heel,26.287136
heel,26.54475
heel,23.974894
heel,21.245769
heel,20.204085
heel,19.848575
heel,18.399887
heel,16.660355
heel,14.926061
heel,13.145364
heel,11.092533
heel,8.650062
heel,6.44859
heel,4.825964
heel,4.028423
heel,3.836372
heel,3.813021
heel,3.746858
heel,3.391198
heel,2.819387
heel,1.967958
heel,1.139131
heel,0.616718
heel,-0.050894
heel,-0.81281
heel,-0.970133
heel,-0.670156
heel,0.314346
heel,1.621877
heel,2.390529
heel,2.548001
heel,2.044748
heel,2.997966
heel,7.020251
heel,12.183614
heel,19.200123
heel,26.809849
heel,32.367941
heel,31.195429
heel,24.540568
heel,19.279458
heel,16.948356
heel,16.169376
heel,15.59038
heel,16.086897
heel,17.297579
heel,18.36471
heel,18.309326
heel,16.57593
heel,13.765075
heel,10.917397
heel,8.352331
heel,5.990243
heel,4.076922
heel,2.505639
heel,1.467399
heel,0.489632
heel,-0.404908
heel,-1.105751
heel,-1.719175
heel,-1.724564
heel,-1.348097
heel,-0.75009
heel,0.021405
heel,0.664019
heel,1.841471
heel,3.349734
heel,4.373006
heel,5.018763
heel,6.481821
heel,9.822574
heel,14.20052
heel,18.727256
heel,22.611679
heel,23.99121
heel,22.942491
heel,21.150268
heel,19.800076
heel,19.200423
heel,19.225421
heel,18.916014
heel,18.25424
heel,17.344582
heel,16.011005
heel,14.241535
heel,11.907738
heel,9.269624
heel,6.920409
heel,5.288053
heel,4.317172
heel,3.987109
heel,3.910468
heel,3.387306
toe,17.92238
toe,15.011683
toe,14.096037
toe,14.356496
toe,15.083534
toe,15.16227
toe,14.180911
toe,11.938574
toe,9.002729
toe,6.039042
toe,3.334915
toe,1.008453
toe,-1.079106
toe,-3.18358
toe,-4.800817
toe,-5.060527
toe,-3.972888
toe,-2.270628
toe,-0.860411
toe,-0.05299
toe,1.053809
toe,2.312541
toe,3.622766
toe,5.059778
toe,6.120023
toe,5.921087
toe,5.172045
toe,5.710475
toe,7.69894
toe,10.440339
toe,14.489718
toe,25.02975
toe,37.231028
toe,39.250029
toe,30.811028
toe,22.598506
toe,18.148859
toe,15.599511
toe,14.631923
toe,15.289505
toe,15.838863
toe,15.463444
toe,14.073883
toe,11.951297
toe,9.620344
toe,7.467821
toe,5.288652
toe,3.254382
toe,1.921404
toe,0.773591
toe,-0.537832
toe,-1.722318
toe,-2.710863
toe,-3.117866
toe,-3.39015
toe,-3.335963
toe,-2.552642
toe,-0.968486
toe,1.611998
toe,4.659211
toe,7.56901
toe,9.480984
toe,9.662407
toe,8.675958
toe,9.06949
toe,11.590847
toe,15.365996
toe,18.873353
toe,23.392305
toe,29.054132
toe,27.740014
toe,22.477857
toe,18.348694
toe,16.145425
toe,14.761104
toe,13.821358
toe,13.710738
toe,14.728472
toe,16.025225
toe,16.002473
toe,13.736335
toe,10.571167
toe,7.37681
toe,4.376449
toe,1.660048
toe,-0.862656
toe,-3.18328
toe,-4.746779
toe,-5.413193
toe,-4.960385
toe,-3.993695
toe,-2.681374
toe,-0.925974
toe,1.246907
toe,3.281626
toe,5.146598
toe,6.658304
toe,7.423513
toe,7.830367
toe,10.278975
toe,15.287859
toe,22.032982
toe,29.240943
toe,31.284494
toe,27.711573
toe,24.567063
toe,21.511467
toe,18.875598
toe,16.384628
toe,14.371614
toe,13.627362
toe,13.754597
toe,13.635295
toe,13.000615
toe,11.65162
toe,10.154434
toe,8.606353
toe,7.036567
toe,5.291796
toe,3.414998
toe,1.508862
toe,-0.419877
toe,-2.466421
toe,-3.969296
toe,-4.774022
toe,-4.673731
toe,-3.972888
toe,-2.156416
toe,0.5772
toe,3.609594
toe,6.410419
toe,8.858878
toe,9.751621
toe,7.769294
toe,5.250033
toe,5.682783
toe,9.156758
toe,14.684913
toe,21.021236
toe,26.512567
toe,29.385243
toe,28.168423
toe,24.062013
toe,20.400477
toe,18.229691
toe,16.685053
toe,15.425722
toe,14.605278
toe,14.150823
toe,13.831537
toe,12.901821
toe,10.901979
toe,8.565338
toe,6.086493
toe,3.704646
toe,1.595083
toe,-0.207469
toe,-1.659599
toe,-2.89483
toe,-3.214565
toe,-3.142266
toe,-2.820734
toe,-1.686543
toe,-0.164358
toe,1.093775
toe,2.08696
toe,3.385959
toe,4.830754
toe,5.631888
toe,4.997508
toe,5.382806
toe,9.02638
toe,14.047987
toe,18.708994
toe,26.713748
toe,34.723742
toe,36.168687
toe,28.927645
toe,20.11547
toe,15.053147
toe,13.040432
toe,12.009376
toe,11.491753
toe,11.932287
toe,12.551848
toe,12.701238
toe,12.259955
toe,11.172616
toe,9.435928
toe,7.207811
toe,4.675078
toe,2.217489
toe,-0.265398
toe,-2.499502
toe,-3.870052
toe,-4.064348
toe,-3.179388
toe,-2.041904
toe,-1.079555
toe,0.161514
toe,2.175276
toe,4.903204
toe,7.298672
toe,9.058563
toe,9.854607
toe,8.66548
toe,6.100115
toe,5.502258
toe,7.039561
toe,9.889934
toe,13.750855
toe,19.361338
toe,26.413323
toe,33.875456
toe,33.479529
toe,26.416616
toe,19.82178
toe,16.211887
toe,14.122233
toe,13.044324
toe,12.499457
toe,13.030403
toe,14.093941
toe,14.02718
toe,12.000994
toe,8.891061
toe,6.173013
toe,3.909271
toe,2.066453
toe,0.403112
toe,-1.165776
toe,-2.891387
toe,-3.895649
toe,-3.898493
toe,-3.464396
toe,-2.637665
toe,-0.94753
toe,1.01474
toe,3.453319
toe,5.994435
toe,7.581584
toe,8.189171
toe,7.821834
toe,7.132368
toe,8.623268
toe,11.476634
toe,14.08017
toe,18.565742
toe,25.599316
toe,34.047598
toe,35.147959
toe,27.909013
toe,21.468356
toe,15.92673
toe,10.962154
toe,8.498727
toe,8.590636
toe,10.046808
toe,11.242671
toe,11.345357
toe,10.350227
toe,8.931926
toe,7.397168
toe,5.608088
toe,3.566184
