n,Yheel,Ytoe
629,5.085824,-1.199755
630,4.73181,-1.590892
631,4.958738,-1.286575
632,5.035529,-0.652793
633,4.742588,0.49038
634,3.963159,1.887126
635,2.531685,3.09212
636,0.730631,3.739374
637,-0.692759,4.309688
638,-1.214275,4.535419
639,-1.541345,4.082161
640,-1.467548,3.405718
641,-0.92328,3.131338
642,0.411045,4.888834
643,2.365681,7.641759
644,3.892655,12.471316
645,4.338728,20.172351
646,3.985762,31.288535
647,4.345464,42.489293
648,7.520361,36.399207
649,11.385025,24.474405
650,16.151712,18.673818
651,22.222638,16.324453
652,28.643236,15.228881
653,31.714699,14.206208
654,27.82369,13.038187
655,21.522244,12.398417
656,17.570612,11.934233
657,16.017442,10.80528
658,16.026872,8.611592
659,16.604221,6.113287
660,17.721797,4.09249
661,18.396295,2.545906
662,17.612674,1.185385
663,15.271243,-0.196841
664,12.293036,-1.365011
665,9.611513,-2.405797
666,7.547156,-3.168162
667,5.717061,-3.492837
668,3.838917,-3.562741
669,2.045796,-2.824776
670,0.792302,-1.193917
671,-0.078437,1.090931
672,-0.730481,3.86631
673,-1.265319,6.548582
674,-1.642983,8.242909
675,-1.566792,8.287815
676,-0.913101,7.209158
677,-0.134121,6.710096
678,1.004561,8.18468
679,2.34188,11.172467
680,3.459007,18.436411
681,3.61603,27.752588
682,2.653083,33.980537
683,1.972748,32.663576
684,4.524641,28.144324
685,10.656789,24.828419
686,16.036003,20.868105
687,20.323986,17.380507
688,24.610772,15.405664
689,27.160869,13.904735
690,26.240882,12.101884
691,23.300097,9.966724
692,21.114792,7.738458
693,20.009191,5.805976
694,19.24952,4.63092
695,17.758621,4.441713
696,16.14797,4.715943
697,14.7629,4.626878
698,13.204641,3.80389
699,11.333981,2.359394
700,9.429791,0.727787
701,7.894433,-0.786914
702,6.416557,-2.075135
703,5.311255,-2.765499
704,4.892726,-3.052602
705,4.62119,-2.578987
706,3.922892,-1.056802
707,2.853516,1.123264
708,1.502575,3.113675
709,0.47631,4.901407
710,-0.00494,6.579268
711,-0.040416,7.403904
712,-0.245639,7.267537
713,-0.561183,7.1171
714,-0.488734,7.821984
715,0.166304,10.210866
716,1.396596,12.815001
717,2.875371,15.576159
718,3.967649,20.646416
719,4.061055,27.307414
720,3.657644,31.625035
721,5.38086,29.876072
722,9.178763,25.208329
723,13.202994,22.142854
724,17.084273,20.164118
725,21.193977,18.239271
726,25.521178,16.218324
727,27.543473,14.566359
728,24.595653,12.801529
729,21.098475,10.57461
730,20.204834,8.202643
731,20.295096,5.921686
732,20.323238,3.758534
733,19.918928,1.986818
734,18.822758,0.393981
735,16.960181,-0.762814
736,14.619499,-1.517544
