pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
1064.329787,943.334225,1377.521277,879.804813,1037.095745,495.740642,1091.563830,149.216578,989.436170,827.826203,1291.474729,842.264706
1203.904255,954.885027,1479.648936,848.040107,1115.393617,478.414439,1094.968085,123.227273,764.755319,848.040107,1391.980144,819.163102
1329.861702,946.221925,1554.542553,775.847594,1183.478723,437.986631,1105.180851,85.687166,611.563830,790.286096,1457.828520,781.622995
1459.223404,946.221925,1588.585106,692.104278,1214.117021,403.334225,1101.776596,42.371658,516.244681,744.082888,1506.348375,732.532086
1571.563830,891.355615,1622.627660,605.473262,1180.074468,397.558824,1108.585106,30.820856,478.797872,712.318182,1561.799639,669.002674
1629.436170,801.836898,1605.606383,530.393048,1132.414894,420.660428,1084.755319,53.922460,495.819149,755.633690,1558.333935,614.136364
1632.840426,761.409091,1503.478723,481.302139,1084.755319,475.526738,1074.542553,79.911765,563.904255,836.489305,1516.745487,582.371658
1561.351064,755.633690,1462.627660,472.639037,1006.457447,510.179144,1067.734043,123.227273,666.031915,894.243316,1457.828520,565.045455
1428.585106,784.510695,1404.755319,513.066845,907.734043,492.852941,1054.117021,172.318182,788.585106,911.569519,1353.857401,588.147059
1231.138298,876.917112,1346.882979,582.371658,826.031915,449.537433,1023.478723,149.216578,924.755319,900.018717,1260.283394,643.013369
996.244681,928.895722,1224.329787,671.890374,795.393617,420.660428,1003.053191,117.451872,1054.117021,917.344920,1152.846570,700.767380
795.393617,957.772727,1129.010638,781.622995,768.159574,391.783422,999.648936,85.687166,1146.031915,911.569519,996.889892,775.847594
604.755319,928.895722,972.414894,871.141711,774.968085,397.558824,969.010638,51.034759,1299.223404,911.569519,861.727437,839.377005
465.180851,842.264706,802.202128,917.344920,774.968085,397.558824,975.819149,45.259358,1418.372340,894.243316,730.030686,850.927807
434.542553,790.286096,693.265957,931.783422,781.776596,406.221925,958.797872,59.697861,1510.287234,839.377005,674.579422,856.703209
451.563830,827.826203,778.372340,940.446524,788.585106,420.660428,965.606383,79.911765,1588.585106,770.072193,705.770758,862.478610
546.882979,894.243316,904.329787,928.895722,798.797872,432.211230,982.627660,94.350267,1534.117021,718.093583,820.138989,874.029412
679.648936,943.334225,1040.500000,928.895722,829.436170,443.762032,999.648936,126.114973,1428.585106,709.430481,944.904332,871.141711
819.223404,949.109626,1146.031915,923.120321,877.095745,461.088235,989.436170,117.451872,1282.202128,729.644385,1069.669675,865.366310
941.776596,949.109626,1295.819149,917.344920,951.989362,466.863636,1054.117021,143.441176,1190.287234,781.622995,1190.969314,865.366310
1067.734043,940.446524,1401.351064,885.580214,1043.904255,495.740642,1105.180851,146.328877,938.372340,830.713904,1305.337545,839.377005
1203.904255,937.558824,1496.670213,836.489305,1118.797872,469.751337,1111.989362,120.339572,778.372340,839.377005,1391.980144,807.612299
1346.882979,943.334225,1554.542553,770.072193,1190.287234,426.435829,1122.202128,85.687166,584.329787,810.500000,1457.828520,781.622995
1493.265957,946.221925,1588.585106,686.328877,1186.882979,411.997326,1091.563830,53.922460,502.627660,732.532086,1520.211191,732.532086
1561.351064,874.029412,1629.436170,593.922460,1173.265957,411.997326,1074.542553,56.810160,485.606383,712.318182,1547.936823,671.890374
1605.606383,796.061497,1598.797872,527.505348,1111.989362,437.986631,1071.138298,65.473262,485.606383,758.521390,1547.936823,614.136364
1585.180851,767.184492,1496.670213,489.965241,1060.925532,489.965241,1074.542553,97.237968,563.904255,842.264706,1492.485560,576.596257
1527.308511,772.959893,1452.414894,492.852941,989.436170,515.954545,1047.308511,143.441176,672.840426,894.243316,1423.171480,579.483957
1384.329787,833.601604,1380.925532,527.505348,883.904255,492.852941,1037.095745,163.655080,812.414894,905.794118,1315.734657,602.585561
