pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y
843.053191,934.671123,1111.989362,784.510695,791.989362,463.975936,1020.074468,154.991979,1074.542553,879.804813,1022.254386,768.461477
689.861702,926.008021,1006.457447,839.377005,771.563830,452.425134,992.840426,137.665775,1197.095745,900.018717,916.778575,800.243178
563.904255,900.018717,856.670213,874.029412,785.180851,458.200535,989.436170,114.564171,1268.585106,874.029412,787.485646,829.135634
489.010638,874.029412,754.542553,888.467914,781.776596,458.200535,979.223404,117.451872,1353.691489,862.478610,702.424508,843.581862
509.436170,871.141711,771.563830,900.018717,798.797872,481.302139,958.797872,120.339572,1414.968085,807.612299,716.034290,840.692616
580.925532,920.232620,843.053191,900.018717,795.393617,484.189840,962.202128,129.002674,1404.755319,770.072193,787.485646,846.471108
662.627660,908.681818,951.989362,902.906417,795.393617,498.628342,979.223404,149.216578,1340.074468,738.307487,886.156566,849.360353
781.776596,920.232620,1057.521277,911.569519,846.457447,524.617647,1006.457447,166.542781,1268.585106,741.195187,988.229931,843.581862
890.712766,937.558824,1159.648936,879.804813,877.095745,524.617647,1026.882979,192.532086,1149.436170,764.296791,1069.888623,840.692616
975.819149,931.783422,1241.351064,885.580214,938.372340,553.494652,1023.478723,175.205882,1020.074468,845.152406,1171.961988,834.914125
1077.946809,934.671123,1343.478723,827.826203,1026.882979,565.045455,1047.308511,160.767380,849.861702,859.590909,1260.425572,820.467897
1203.904255,928.895722,1397.946809,819.163102,1094.968085,541.943850,1013.265957,137.665775,717.095745,856.703209,1318.267145,811.800161
1285.606383,940.446524,1455.819149,790.286096,1125.606383,504.403743,999.648936,134.778075,587.734043,819.163102,1369.303828,785.796950
1397.946809,934.671123,1479.648936,689.216578,1118.797872,484.189840,1006.457447,114.564171,553.691489,822.050802,1406.730728,754.015249
1466.031915,876.917112,1459.223404,637.237968,1081.351064,518.842246,1006.457447,140.553476,553.691489,822.050802,1433.950292,704.898074
1476.244681,850.927807,1394.542553,608.360963,1026.882979,530.393048,986.031915,160.767380,601.351064,882.692513,1389.718501,684.673355
1401.351064,853.815508,1374.117021,611.248663,958.797872,556.382353,975.819149,178.093583,693.265957,902.906417,1328.474482,667.337881
1289.010638,888.467914,1336.670213,622.799465,894.117021,567.933155,1013.265957,204.082888,812.414894,897.131016,1233.206007,681.784109
1122.202128,928.895722,1248.159574,712.318182,815.819149,524.617647,1006.457447,180.981283,904.329787,900.018717,1141.339979,719.344302
907.734043,972.211230,1135.819149,781.622995,761.351064,481.302139,999.648936,166.542781,1043.904255,911.569519,1059.681287,759.793740
734.117021,966.435829,1054.117021,833.601604,740.925532,452.425134,1009.861702,140.553476,1118.797872,905.794118,933.790803,811.800161
591.138298,937.558824,921.351064,885.580214,744.329787,440.874332,962.202128,134.778075,1197.095745,888.467914,797.692982,843.581862
485.606383,891.355615,809.010638,926.008021,771.563830,446.649733,962.202128,108.788770,1282.202128,882.692513,719.436736,863.806581
485.606383,900.018717,734.117021,897.131016,764.755319,463.975936,917.946809,131.890374,1408.159574,853.815508,688.814726,866.695827
536.670213,920.232620,826.031915,897.131016,771.563830,469.751337,938.372340,111.676471,1414.968085,804.724599,743.253854,858.028090
614.968085,943.334225,924.755319,905.794118,764.755319,492.852941,948.585106,134.778075,1380.925532,755.633690,838.522329,858.028090
